Name of Earth Meteorite,id,nametype,recclass,mass,year,reclat,reclong,point coordinates
Monte Milone,16726,Valid,L5,3130.0,1846-01-01,43.26667,13.35,"[43.26667, 13.35]"
Montferré,16727,Valid,H5,149000.0,1923-01-01,43.39056,1.9625,"[43.39056, 1.9625]"
Montlivault,16729,Valid,L6,500.0,1838-01-01,47.63333,1.58333,"[47.63333, 1.58333]"
Monze,16733,Valid,L6,,1950-01-01,-15.96667,27.35,"[-15.96667, 27.35]"
Moore County,16736,Valid,Eucrite-cm,1880.0,1913-01-01,35.41667,-79.38333,"[35.41667, -79.38333]"
Mooresfort,16737,Valid,H5,3520.0,1810-01-01,52.45,-8.33333,"[52.45, -8.33333]"
Moorleah,16738,Valid,L6,8887.5,1930-01-01,-40.975,145.6,"[-40.975, 145.6]"
Moradabad,16740,Valid,L6,70.0,1808-01-01,28.78333,78.83333,"[28.78333, 78.83333]"
Morávka,16742,Valid,H5,633.0,2000-01-01,49.6,18.53333,"[49.6, 18.53333]"
Mornans,16747,Valid,H5,1300.0,1875-01-01,44.6,5.13333,"[44.6, 5.13333]"
Moss,36592,Valid,CO3.6,3763.0,2006-01-01,59.43333,10.7,"[59.43333, 10.7]"
Moti-ka-nagla,16759,Valid,H6,1500.0,1868-01-01,26.83333,77.33333,"[26.83333, 77.33333]"
Motta di Conti,16762,Valid,H4,9150.0,1868-01-01,45.2,8.5,"[45.2, 8.5]"
Mount Browne,16766,Valid,H6,11300.0,1902-01-01,-29.8,141.7,"[-29.8, 141.7]"
Mount Tazerzait,16804,Valid,L5,110000.0,1991-01-01,18.7,4.8,"[18.7, 4.8]"
Mount Vaisi,16805,Valid,Stone-uncl,17000.0,1637-01-01,44.08333,6.86667,"[44.08333, 6.86667]"
Mtola,16820,Valid,Stone-uncl,1100.0,1944-01-01,-11.5,33.5,"[-11.5, 33.5]"
Muddoor,16841,Valid,L5,4400.0,1865-01-01,12.63333,77.01667,"[12.63333, 77.01667]"
Mulletiwu,16851,Valid,L,25.5,1795-01-01,9.33333,80.83333,"[9.33333, 80.83333]"
Muraid,16874,Valid,L6,4703.0,1924-01-01,24.5,90.21667,"[24.5, 90.21667]"
Murchison,16875,Valid,CM2,100000.0,1969-01-01,-36.61667,145.2,"[-36.61667, 145.2]"
Murray,16882,Valid,CM2,12600.0,1950-01-01,36.6,-88.1,"[36.6, -88.1]"
Muzaffarpur,16885,Valid,"Iron, IAB-sHL",1245.0,1964-01-01,26.13333,85.53333,"[26.13333, 85.53333]"
Myhee Caunta,16887,Valid,OC,,1842-01-01,23.05,72.63333,"[23.05, 72.63333]"
Nadiabondi,16889,Valid,H5,8165.0,1956-01-01,12.0,1.0,"[12.0, 1.0]"
Nagai,16890,Valid,L6,1810.0,1922-01-01,38.12167,140.06167,"[38.12167, 140.06167]"
Nagaria,16892,Valid,Eucrite-cm,20.0,1875-01-01,26.98333,78.21667,"[26.98333, 78.21667]"
Nagy-Borové,16893,Valid,L5,6100.0,1895-01-01,49.16667,19.5,"[49.16667, 19.5]"
Nakhla,16898,Valid,Martian (nakhlite),10000.0,1911-01-01,31.31667,30.35,"[31.31667, 30.35]"
Nakhon Pathom,16899,Valid,L6,23200.0,1923-01-01,13.73333,100.08333,"[13.73333, 100.08333]"
Nammianthal,16902,Valid,H5,4500.0,1886-01-01,12.28333,79.2,"[12.28333, 79.2]"
Nan Yang Pao,16903,Valid,L6,52900.0,1917-01-01,35.66667,103.5,"[35.66667, 103.5]"
Nanjemoy,16904,Valid,H6,7500.0,1825-01-01,38.41667,-77.16667,"[38.41667, -77.16667]"
Nantong,16907,Valid,H6,529.0,1984-01-01,32.11667,121.8,"[32.11667, 121.8]"
Naoki,16908,Valid,H6,17000.0,1928-01-01,19.25,77.0,"[19.25, 77.0]"
Naragh,16909,Valid,H6,2700.0,1974-01-01,33.75,51.5,"[33.75, 51.5]"
Narellan,16912,Valid,L6,367.5,1928-01-01,-34.05,150.68889,"[-34.05, 150.68889]"
Narni,16914,Valid,Stone-uncl,,0921-01-01,42.51667,12.51667,"[42.51667, 12.51667]"
Nassirah,16922,Valid,H4,347.0,1936-01-01,-21.73333,165.9,"[-21.73333, 165.9]"
Natal,16923,Valid,Stone-uncl,1.4,1973-01-01,0.0,0.0,"[0.0, 0.0]"
Nawapali,16927,Valid,CM2,105.0,1890-01-01,21.25,83.66667,"[21.25, 83.66667]"
Neagari,16934,Valid,L6,420.0,1995-01-01,36.44917,136.46528,"[36.44917, 136.46528]"
Nedagolla,16935,Valid,"Iron, ungrouped",4500.0,1870-01-01,18.68333,83.48333,"[18.68333, 83.48333]"
Nejo,16941,Valid,L6,2450.0,1970-01-01,9.5,35.33333,"[9.5, 35.33333]"
Nerft,16945,Valid,L6,10250.0,1864-01-01,56.5,21.5,"[56.5, 21.5]"
Neuschwanstein,16950,Valid,EL6,6189.0,2002-01-01,47.525,10.80833,"[47.525, 10.80833]"
New Concord,16953,Valid,L6,230000.0,1860-01-01,40.0,-81.76667,"[40.0, -81.76667]"
New Halfa,16954,Valid,L4,12000.0,1994-01-01,15.36667,35.68333,"[15.36667, 35.68333]"
New Orleans,16960,Valid,H5,19256.0,2003-01-01,29.94718,-90.10976,"[29.94718, -90.10976]"
Ngawi,16966,Valid,LL3.6,1393.0,1883-01-01,-7.45,111.41667,"[-7.45, 111.41667]"
